RHS,R,G,B,L,a,b,L2,C,h
18C,253,227,190,92,4,21,91,21,80
18D,252,227,190,91,3,21,91,21,81
19A,264,206,114,86,11,53,86,54,78
19B,258,215,160,89,8,32,88,33,76
19C,255,220,172,90,6,27,90,28,78
19D,252,227,204,92,6,13,92,14,68
20A,250,190,88,81,12,58,81,59,79
20B,259,209,130,87,9,45,86,46,79
20C,255,215,166,88,8,29,88,30,75
20D,257,224,197,91,7,17,91,18,65
21A,260,183,30,80,18,78,80,80,77
21B,256,188,63,81,14,68,81,70,78
21C,264,199,89,84,13,62,84,63,78
21D,261,207,127,86,10,46,86,47,78
22A,241,170,77,75,18,56,75,59,72
22B,256,198,119,84,13,46,83,48,75
22C,257,203,135,85,12,40,85,42,74
22D,260,211,151,87,10,35,87,37,74
23A,264,174,25,78,24,78,78,81,73
23B,265,185,77,81,20,64,81,67,73
23C,260,196,119,84,15,47,84,49,72
23D,255,215,175,88,9,24,88,26,70
24A,264,163,60,76,30,65,76,72,65
24B,263,177,89,79,24,56,79,61,67
24C,263,194,136,84,18,38,84,42,64
24D,257,205,162,86,13,28,86,31,65
25A,261,146,57,72,37,63,72,73,59
25B,265,166,74,77,30,60,77,67,64
25C,265,175,103,79,26,49,79,56,62
25D,262,199,155,85,18,30,85,35,60
N25A,238,117,46,63,43,57,63,72,53
N25B,257,142,38,70,37,68,70,78,61
N25C,261,153,21,73,33,75,73,82,66
N25D,256,175,32,77,20,76,77,78,75
26A,241,145,70,69,31,53,69,61,60
26B,249,165,96,75,25,47,75,53,62
26C,247,179,135,78,20,32,78,38,58
26D,245,188,155,81,17,24,81,29,55
27A,254,210,185,87,12,17,87,21,55
27B,256,217,201,90,12,12,90,17,46
27C,252,221,213,91,10,7,90,12,35
27D,249,223,215,91,8,7,91,10,38
28A,241,116,48,63,44,57,63,72,52
28B,260,139,61,70,41,59,70,72,55
28C,262,172,114,78,28,42,78,51,57
28D,260,187,143,82,22,32,82,38,56
29A,260,161,105,75,32,44,75,54,54
